year,state,july1est
2000,Washington,5910512
2001,Washington,5985722
2002,Washington,6052349
2003,Washington,6104115
2004,Washington,6178645
2005,Washington,6257305
2006,Washington,6370753
2007,Washington,6461587
2008,Washington,6562231
2009,Washington,6667426
2010,Washington,6742830
2011,Washington,6826627
2012,Washington,6897058
2013,Washington,6963985
2014,Washington,7054655
2015,Washington,7163657
2016,Washington,7294771
2017,Washington,7423362
2018,Washington,7523869
2019,Washington,7614893
2000,Oregon,3429708
2001,Oregon,3467937
2002,Oregon,3513424
2003,Oregon,3547376
2004,Oregon,3569463
2005,Oregon,3613202
2006,Oregon,3670883
2007,Oregon,3722417
2008,Oregon,3768748
2009,Oregon,3808600
2010,Oregon,3837491
2011,Oregon,3872036
2012,Oregon,3899001
2013,Oregon,3922468
2014,Oregon,3963244
2015,Oregon,4015792
2016,Oregon,4089976
2017,Oregon,4143625
2018,Oregon,4181886
2019,Oregon,4217737
